date,month,time,plot,sampling_site,sampling_plot,pH,conductivity_microS.cm,temperature_water_degC,barometric_pressure_PSI,pCH4_ppm,pCO2_ppm,d13CCH4_permil,d13CCO2_permil,DOC_mgCL,d13CDOC_permil
22/2/2022,22_02,9:23,CANIN,CANIN,CANIN,3.73,NA,27.75,14.61856,790.0706633,12851.9301,-19.32753402,-21.15198517,91.28766667,NA
22/2/2022,22_02,9:23,CANIN,CANIN,CANIN,3.73,NA,27.75,14.61856,NA,NA,NA,NA,97.22333333,NA
22/2/2022,22_02,9:23,CANIN,CANIN,CANIN,3.73,NA,27.75,14.61856,NA,NA,NA,NA,NA,NA
22/2/2022,22_02,11:58,80.05,-80,80.05,3.1,161,29.59,14.61856,28437.23613,99531.11197,-73.22046007,-26.64101833,142.987,NA
22/2/2022,22_02,11:58,80.05,-80,80.05,3.1,161,29.59,14.61856,23589.16972,89240.84927,-75.91897214,-25.45969348,140.9033333,NA
22/2/2022,22_02,11:58,80.05,-80,80.05,3.1,161,29.59,14.61856,NA,NA,NA,NA,134.1666667,NA
22/2/2022,22_02,14:40,CANMID,CANMID,CANMID,3.16,134,27.09,14.61856,2051.245375,10951.68002,-53.93482552,-27.19212714,116.449,NA
22/2/2022,22_02,14:40,CANMID,CANMID,CANMID,3.16,134,27.09,14.61856,2298.917291,14238.71254,-47.713365,-28.24230625,128.6066667,NA
22/2/2022,22_02,14:40,CANMID,CANMID,CANMID,3.16,134,27.09,14.61856,NA,NA,NA,NA,111.11,NA
22/2/2022,22_02,15:10,40.29,-40,40.29,3.17,132,28.21,14.61856,28095.93386,58595.34769,-65.21517418,-26.59498353,137.6203333,NA
22/2/2022,22_02,15:10,40.29,-40,40.29,3.17,132,28.21,14.61856,29022.29185,53552.08525,-68.87882131,-28.02438239,143.8166667,NA
22/2/2022,22_02,15:10,40.29,-40,40.29,3.17,132,28.21,14.61856,NA,NA,NA,NA,144.9433333,NA
22/2/2022,22_02,15:57,40.26,-40,40.26,3.35,127,28.2,14.61856,305218.4067,142474.5602,-67.75765501,-21.70479406,153.857,NA
22/2/2022,22_02,15:57,40.26,-40,40.26,3.35,127,28.2,14.61856,114884.4318,60522.76907,-70.94488436,-17.83896017,117.9533333,NA
22/2/2022,22_02,15:57,40.26,-40,40.26,3.35,127,28.2,14.61856,131684.8522,76000.24291,-71.36514982,-20.34266778,151.3733333,NA
23/2/2022,22_02,10:03,80.14,-80,80.14,3.03,168,28.75,14.61856,NA,NA,NA,NA,136.0926667,NA
23/2/2022,22_02,10:03,80.14,-80,80.14,3.03,168,28.75,14.61856,50999.1765,95322.81692,-71.5415407,-26.6985622,133.9366667,NA
23/2/2022,22_02,10:03,80.14,-80,80.14,3.03,168,28.75,14.61856,66986.99705,122942.0834,-73.79996338,-25.91942704,138.8866667,NA
23/2/2022,22_02,11:12,80.26,-80,80.26,3.01,161,29.22,14.61856,NA,NA,NA,NA,123.6216667,NA
23/2/2022,22_02,11:12,80.26,-80,80.26,3.01,161,29.22,14.61856,38286.23512,92568.217,-80.82458695,-26.12645875,117.9533333,NA
23/2/2022,22_02,11:12,80.26,-80,80.26,3.01,161,29.22,14.61856,45049.55707,102351.5602,-81.07212901,-25.78858915,119.81,NA
23/2/2022,22_02,13:33,CAN40,CAN40,CAN40,3.42,111,28.39,14.61856,4574.843433,18416.50597,-23.8165241,-23.26299147,109.0266667,NA
23/2/2022,22_02,13:33,CAN40,CAN40,CAN40,3.42,111,28.39,14.61856,5257.159142,11563.97908,-32.11908298,-25.4119904,NA,NA
23/2/2022,22_02,13:33,CAN40,CAN40,CAN40,3.42,111,28.39,14.61856,5440.923433,19169.85741,-26.82819052,-23.55535754,NA,NA
23/2/2022,22_02,14:49,40.09,-40,40.09,3.17,133,27.8,14.61856,61333.28377,58855.81889,-73.20295328,-25.5745088,124.6253333,NA
23/2/2022,22_02,14:49,40.09,-40,40.09,NA,133,27.8,14.61856,NA,NA,NA,NA,NA,NA
23/2/2022,22_02,14:49,40.09,-40,40.09,3.17,133,27.8,14.61856,86117.43839,64269.08051,-80.73997452,-25.23780181,131.6933333,NA
23/2/2022,22_02,15:40,CANOUT,CANOUT,CANOUT,3.36,113,27.75,14.61856,19702.61376,24105.49631,-52.14957765,-22.1171558,99.49733333,NA
23/2/2022,22_02,15:40,CANOUT,CANOUT,CANOUT,3.36,113,27.75,14.61856,2011.20838,20925.36702,-35.74180712,-25.5809432,111.4366667,NA
23/2/2022,22_02,15:40,CANOUT,CANOUT,CANOUT,3.36,113,27.75,14.61856,23732.3446,28951.29816,-54.51215512,-22.3315642,NA,NA
17/5/2022,22_05,11:05,40.29,-40,40.29,3.25,118,28.2,14.61856,129566.6534,113533.1137,-81.89532524,-25.1229178,133.0653333,-30
17/5/2022,22_05,11:05,40.29,-40,40.29,3.25,118,28.2,14.61856,166643.164,147569.5727,-82.38912423,-24.65440434,126.66,NA
17/5/2022,22_05,11:05,40.29,-40,40.29,3.25,118,28.2,14.61856,91141.41227,100151.6866,-80.37280107,-26.14470329,133.98,NA
17/5/2022,22_05,13:42,CANMID,CANMID,CANMID,3.1,144,27.96,14.61856,1643.316676,30754.20397,-56.14679301,-26.43789462,140.079,-29.8
17/5/2022,22_05,13:42,CANMID,CANMID,CANMID,3.1,144,27.96,14.61856,1302.786893,35595.48537,-49.87998786,-25.58428463,147.33,NA
17/5/2022,22_05,13:42,CANMID,CANMID,CANMID,3.1,144,27.96,14.61856,1449.708479,36679.44679,-51.61384767,-25.02961808,144.2066667,NA
17/5/2022,22_05,13:46,CANIN,CANIN,CANIN,3.08,145,28.05,14.61856,84.99492749,15124.03299,-85.15106008,-24.78104079,124.4263333,-29.61
17/5/2022,22_05,13:46,CANIN,CANIN,CANIN,3.08,145,28.05,14.61856,92.27401705,24695.83906,-88.24021294,-26.22838195,143.9366667,NA
17/5/2022,22_05,13:46,CANIN,CANIN,CANIN,3.08,145,28.05,14.61856,202.3396733,25988.60443,-32.60891467,-25.24822779,137.5166667,NA
17/5/2022,22_05,16:28,CANOUT,CANOUT,CANOUT,3.15,120,28.89,14.61856,1768.566239,25549.26876,-32.37590437,-24.73792833,103.6413333,-29.5
17/5/2022,22_05,16:28,CANOUT,CANOUT,CANOUT,3.15,120,28.89,14.61856,2376.659328,27726.63575,-41.59204873,-24.57957914,115.5733333,NA
17/5/2022,22_05,16:28,CANOUT,CANOUT,CANOUT,3.15,120,28.89,14.61856,3452.401644,28377.09175,-45.24959968,-24.91615113,120.4933333,NA
18/5/2022,22_05,10:45,80.14,-80,80.14,3.04,152,29.4,14.61856,81848.37488,108429.0931,-75.97707602,-25.75736018,140.8483333,-29.72
18/5/2022,22_05,10:45,80.14,-80,80.14,3.04,152,29.4,14.61856,77521.72534,126103.8606,-76.94151626,-25.43911926,148.3533333,NA
18/5/2022,22_05,10:45,80.14,-80,80.14,3.04,152,29.4,14.61856,94653.14411,137937.8532,-76.54023801,-25.04767817,132.3666667,NA
18/5/2022,22_05,13:46,80.26,-80,80.26,3.05,148,30.09,14.61856,82523.22591,128932.9849,-80.27149458,-24.49864162,126.8186667,-29.64
18/5/2022,22_05,13:46,80.26,-80,80.26,3.05,148,30.09,14.61856,90067.54355,140067.8663,-79.76891297,-25.68765193,134.1733333,NA
18/5/2022,22_05,13:46,80.26,-80,80.26,3.05,148,30.09,14.61856,91103.49626,139498.1256,-80.10538517,-25.95946773,120.97,NA
18/5/2022,22_05,14:21,CAN80,CAN80,CAN80,3.04,152,29.39,14.61856,8424.074618,63221.76311,-63.39630466,-25.91800756,120.497,-29.7
18/5/2022,22_05,14:21,CAN80,CAN80,CAN80,3.04,152,29.39,14.61856,6112.060349,62609.8137,-62.12921565,-25.58841799,127.4833333,NA
18/5/2022,22_05,14:21,CAN80,CAN80,CAN80,3.04,152,29.39,14.61856,7085.732583,73683.72243,-59.42833951,-25.61854512,124.9066667,NA
18/5/2022,22_05,14:58,80.05,-80,80.05,3.09,147,29.18,14.61856,43104.46352,128258.4174,-78.4400008,-25.78848949,147.9416667,-29.91
18/5/2022,22_05,14:58,80.05,-80,80.05,3.09,147,29.18,14.61856,43200.81948,107813.8334,-78.93962001,-26.02008527,157.4933333,NA
18/5/2022,22_05,14:58,80.05,-80,80.05,3.09,147,29.18,14.61856,40658.61804,109667.9009,-78.46599844,-25.79817927,149.5533333,NA
19/5/2022,22_05,10:52,40.26,-40,40.26,3.42,107,28.6,14.61856,213913.2701,155038.9386,-76.94899523,-19.23181546,148.7706667,-30.12
19/5/2022,22_05,10:52,40.26,-40,40.26,3.42,107,28.6,14.61856,NA,NA,NA,NA,134.9866667,NA
19/5/2022,22_05,10:52,40.26,-40,40.26,3.42,107,28.6,14.61856,NA,NA,NA,NA,NA,NA
19/5/2022,22_05,11:58,CAN40,CAN40,CAN40,3.17,121,27.91,14.61856,7710.142731,25000.0407,-56.09060337,-25.72681809,113.1253333,-29.95
19/5/2022,22_05,11:58,CAN40,CAN40,CAN40,3.17,121,27.91,14.61856,6860.336884,27190.19507,-54.64671047,-25.76009002,117.9766667,NA
19/5/2022,22_05,11:58,CAN40,CAN40,CAN40,3.17,121,27.91,14.61856,6711.234559,27301.38048,-55.24105618,-26.01154331,NA,NA
19/5/2022,22_05,13:59,40.09,-40,40.09,3.23,114,27.79,14.61856,132476.2385,96552.34555,-81.72892129,-22.42629613,130.932,-30.12
19/5/2022,22_05,13:59,40.09,-40,40.09,3.23,114,27.79,14.61856,NA,NA,NA,NA,140.1166667,NA
19/5/2022,22_05,13:59,40.09,-40,40.09,3.23,114,27.79,14.61856,NA,NA,NA,NA,144.7633333,NA
19/5/2022,22_05,14:21,,CAN40,CAN40.09,3.36,114,27.79,NA,NA,NA,NA,NA,109.6183333,NA
19/5/2022,22_05,14:21,,CAN40,CAN40.09,3.36,114,27.79,NA,NA,NA,NA,NA,131.3566667,NA
19/5/2022,22_05,14:21,,CAN40,CAN40.09,3.36,114,27.79,NA,NA,NA,NA,NA,122.6533333,NA
19/5/2022,22_05,16:06,,CANIN,CANIN,3.3,114,27.79,NA,NA,NA,NA,NA,124.9143333,NA
19/5/2022,22_05,16:06,,CANIN,CANIN,3.3,114,27.79,NA,NA,NA,NA,NA,143.9666667,NA
19/5/2022,22_05,16:06,,CANIN,CANIN,3.3,114,27.79,NA,NA,NA,NA,NA,135.5333333,NA
19/5/2022,22_05,16:30,,CAN80,CAN80,NA,114,27.79,NA,NA,NA,NA,NA,123.372,NA
19/5/2022,22_05,16:30,,CAN80,CAN80,NA,114,27.79,NA,NA,NA,NA,NA,129.89,NA
19/5/2022,22_05,16:30,,CAN80,CAN80,NA,114,27.79,NA,NA,NA,NA,NA,131.0533333,NA
19/5/2022,22_05,16:55,,CANMID,CANMID,3.06,114,27.79,NA,NA,NA,NA,NA,138.5146667,NA
19/5/2022,22_05,16:55,,CANMID,CANMID,3.06,114,27.79,NA,NA,NA,NA,NA,144.25,NA
19/5/2022,22_05,16:55,,CANMID,CANMID,3.06,114,27.79,NA,NA,NA,NA,NA,149.745,NA
19/5/2022,22_05,17:12,,CAN60,CAN60,3.17,114,27.79,NA,NA,NA,NA,NA,122.4826667,NA
19/5/2022,22_05,17:12,,CAN60,CAN60,3.17,114,27.79,NA,NA,NA,NA,NA,143.3466667,NA
19/5/2022,22_05,17:12,,CAN60,CAN60,3.17,129.8,28.01,NA,NA,NA,NA,NA,123.0866667,NA
19/5/2022,22_05,18:01,,CANOUT,CANOUT,3.06,129.8,28.01,NA,NA,NA,NA,NA,94.58966667,NA
19/5/2022,22_05,18:01,,CANOUT,CANOUT,3.06,129.8,28.01,NA,NA,NA,NA,NA,109.4366667,NA
19/5/2022,22_05,18:01,,CANOUT,CANOUT,3.06,144.2,28.4,NA,NA,NA,NA,NA,103.7133333,NA
30/8/2022,22_08,13:37,80.05,-80,80.05,3.41,186,30.51,14.6551124,108484.945,108565.1881,-73.60019346,-25.21857522,135.59,NA
30/8/2022,22_08,13:37,80.05,-80,80.05,3.41,186,30.51,14.6551124,90117.65945,108598.4394,-76.57133648,-25.87220244,148.7733333,NA
30/8/2022,22_08,13:37,80.05,-80,80.05,3.41,186,30.51,14.6551124,125608.3875,138181.3985,-77.20026181,-25.53479978,146.73,NA
30/8/2022,22_08,14:58,CAN80,CAN80,CAN80,3.39,158,27.17,14.65931835,17085.90459,72070.64006,-62.03814454,-25.1135658,124.99,NA
30/8/2022,22_08,14:58,CAN80,CAN80,CAN80,3.39,158,27.17,14.65931835,8190.209743,41162.31156,-58.67562173,-25.49243495,141.6933333,NA
30/8/2022,22_08,14:58,CAN80,CAN80,CAN80,3.39,158,27.17,14.65931835,12110.59328,60340.66082,-59.02773451,-25.74394661,135.64,NA
30/8/2022,22_08,15:58,40.29,-40,40.29,3.42,146,28.39,14.64017404,69666.51199,78023.05275,-71.97200274,-23.99667938,145.3233333,NA
30/8/2022,22_08,15:58,40.29,-40,40.29,3.42,146,28.39,14.64017404,128031.6928,108518.341,-77.14369084,-24.18627488,145.3166667,NA
30/8/2022,22_08,15:58,40.29,-40,40.29,3.42,146,28.39,14.64017404,143120.542,104675.4136,-79.06276345,-24.11729605,132.63,NA
31/8/2022,22_08,11:08,40.26,-40,40.26,3.58,120,27.59,14.61638869,400059.1891,154479.9411,-74.16819426,-19.30520151,158.8166667,-30.08
