Study ID,Authors,Title ,Publication year,Aims/objectives,Land-use type,Land-use description,,Site ID,Country,Latitude,Longitude,Sampling season,Sampling period,Catchment area,Stream surface area,Peat coverage,,Dissolved_CO2_or_pCO2_mean,Dissolved_CO2_or_pCO2_median,Dissolved_CO2_or_pCO2_min,Dissolved_CO2_or_pCO2_max,Dissolved_CO2_or_pCO2_se,Dissolved_CO2_or_pCO2_sd,14C-CO2_mean,14C-CO2_median,14C-CO2_min,14C-CO2_max,14C-CO2_se,14C-CO2_sd,13C-CO2_dissolved_mean,13C-CO2_dissolved_median,13C-CO2_dissolved_min,13C-CO2_dissolved_max,13C-CO2_dissolved_se,13C-CO2_dissolved_sd,Dissolved_CH4_mean_ug L-1,Dissolved_CH4_median_ug L-1,Dissolved_CH4_min_ug L-1,Dissolved_CH4_max_ug L-1,Dissolved_CH4_se_ug L-1,Dissolved_CH4_sd_ug L-1,13C-CH4_dissolved_mean,13C-CH4_dissolved_median,13C-CH4_dissolved_min,13C-CH4_dissolved_max,13C-CH4_dissolved_se,13C-CH4_dissolved_sd,DOC_conc_mean,DOC_conc_median,DOC_conc_min,DOC_conc_max,DOC_conc_se,DOC_conc_sd,14C-DOC_mean,14C-DOC_median,14C-DOC_min,14C-DOC_max,14C-DOC_se,14C-DOC_sd,13C-DOC_mean,13C-DOC_median,13C-DOC_min,13C-DOC_max,13C-DOC_se,13C-DOC_sd
,,,,,,,,,,,,,,km2,km2,%,,umol L-1,umol L-1,umol L-1,umol L-1,umol L-1,umol L-1,% modern,% modern,% modern,% modern,% modern,% modern,‰,‰,‰,‰,‰,‰,ug L-1,ug L-1,ug L-1,ug L-1,ug L-1,ug L-1,‰,‰,‰,‰,‰,‰,mg L-1,mg L-1,mg L-1,mg L-1,mg L-1,mg L-1,% modern,% modern,% modern,% modern,% modern,% modern,‰,‰,‰,‰,‰,‰
Study ID,Authors,Title ,Publication year,Aims/objectives,Land-use type,Land-use description,RiverType,Site ID,Country,Latitude,Longitude,Sampling season,Sampling period,Catchment area_km2,Stream surface area_km2,Peat coverage_%,Aquatic component,Dissolved_CO2_mean_umolL,Dissolved_CO2_median_umolL,Dissolved_CO2_min_umolL,Dissolved_CO2_max_umolL,Dissolved_CO2_se_umolL,Dissolved_CO2_sd_umolL,14C-CO2_mean_% modern,14C-CO2_median_% modern,14C-CO2_min_%modern,14C-CO2_max_%modern,14C-CO2_se_%modern,14C-CO2_sd_%modern,13C-CO2_dissolved_mean_‰,13C-CO2_dissolved_median_‰,13C-CO2_dissolved_min_‰,13C-CO2_dissolved_max_‰,13C-CO2_dissolved_se_‰,13C-CO2_dissolved_sd_‰,Dissolved_CH4_mean_ug L-1,Dissolved_CH4_median_ug L-1,Dissolved_CH4_min_ug L-1,Dissolved_CH4_max_ug L-1,Dissolved_CH4_se_ug L-1,Dissolved_CH4_sd_ug L-1,13C-CH4_dissolved_mean_‰,13C-CH4_dissolved_median_‰,13C-CH4_dissolved_min_‰,13C-CH4_dissolved_max_‰,13C-CH4_dissolved_se_‰,13C-CH4_dissolved_sd_‰,DOC_conc_mean_mg L-1,DOC_conc_median_mg L-1,DOC_conc_min_mg L-1,DOC_conc_max_mg L-1,DOC_conc_se_mg L-1,DOC_conc_sd_mg L-1,14C-DOC_mean_%modern,14C-DOC_median_%modern,14C-DOC_min_%modern,14C-DOC_max_%modern,14C-DOC_se_%modern,14C-DOC_sd_%modern,13C-DOC_mean_‰,13C-DOC_median_‰,13C-DOC_min_‰,13C-DOC_max_‰,13C-DOC_se_‰,13C-DOC_sd_‰
2,"Waldron S., Vihermaa L., Evers S., Garnett M.H., Newton J., Henderson A.C.G.","C mobilisation in disturbed tropical peat swamps: old DOC can fuel the fluvial efflux of old carbon dioxide, but site recovery can occur",2019,"We studied two disturbed tropical peatland sites to explore how fluvial CO2 efflux reveals the ‘state’ of the terrestrial-aquatic-atmospheric C cycle - a feedback to global warming, or a system in recovery?",Degraded,Logged PSF,,Logged PSF_PSF1,Malaysia,3.67909,101.159482,Dry,41426,,,,Canal,,,,,,,102.86,,,,,0.45,-23.6,,,,,,247.5,137.593653,,,,,,,,,,,144.8,,,,,,99.96,,,,,0.46,-29.7,,,,,
2,"Waldron S., Vihermaa L., Evers S., Garnett M.H., Newton J., Henderson A.C.G.","C mobilisation in disturbed tropical peat swamps: old DOC can fuel the fluvial efflux of old carbon dioxide, but site recovery can occur",2019,"We studied two disturbed tropical peatland sites to explore how fluvial CO2 efflux reveals the ‘state’ of the terrestrial-aquatic-atmospheric C cycle - a feedback to global warming, or a system in recovery?",Degraded,Logged PSF,,Logged PSF_BF1,Malaysia,3.41631,101.343865,Dry,41426,,,,Canal,,,,,,,93.07,,,,,0.41,-24.1,,,,,,15.3,88.76666667,,,,,,,,,,,83.6,,,,,,94.17,,,,,0.41,-29.6,,,,,
2,"Waldron S., Vihermaa L., Evers S., Garnett M.H., Newton J., Henderson A.C.G.","C mobilisation in disturbed tropical peat swamps: old DOC can fuel the fluvial efflux of old carbon dioxide, but site recovery can occur",2019,"We studied two disturbed tropical peatland sites to explore how fluvial CO2 efflux reveals the ‘state’ of the terrestrial-aquatic-atmospheric C cycle - a feedback to global warming, or a system in recovery?",Degraded,Logged PSF,,Logged PSF_BF2,Malaysia,3.41631,101.343865,Dry,41426,,,,Canal,,,,,,,93.01,,,,,0.43,-25.5,,,,,,3.5,15.3,,,,,,,,,,,83,,,,,,94.03,,,,,0.41,-29,,,,,
2,"Waldron S., Vihermaa L., Evers S., Garnett M.H., Newton J., Henderson A.C.G.","C mobilisation in disturbed tropical peat swamps: old DOC can fuel the fluvial efflux of old carbon dioxide, but site recovery can occur",2019,"We studied two disturbed tropical peatland sites to explore how fluvial CO2 efflux reveals the ‘state’ of the terrestrial-aquatic-atmospheric C cycle - a feedback to global warming, or a system in recovery?",Managed,Oil Palm Plantation,,OPP_WP41,Malaysia,2.758375,101.631504,Dry,41426,,,,Canal,,,,,,,93.18,,,,,0.43,-14.5,,,,,,1.4,,,,,,,,,,,,109,,,,,,92.93,,,,,0.4,-28.5,,,,,
2,"Waldron S., Vihermaa L., Evers S., Garnett M.H., Newton J., Henderson A.C.G.","C mobilisation in disturbed tropical peat swamps: old DOC can fuel the fluvial efflux of old carbon dioxide, but site recovery can occur",2019,"We studied two disturbed tropical peatland sites to explore how fluvial CO2 efflux reveals the ‘state’ of the terrestrial-aquatic-atmospheric C cycle - a feedback to global warming, or a system in recovery?",Managed,Oil Palm Plantation,,OPP_WP40,Malaysia,2.758375,101.631504,Dry,41426,,,,Canal,,,,,,,96.92,,,,,0.42,-16.2,,,,,,0.5,,,,,,,,,,,,22.5,,,,,,91.71,,,,,0.42,-27.5,,,,,
3,"Rixen T., Baum A., Wit F., Samiaji J.",Carbon leaching from tropical peat soils and consequences for carbon balances,2016,"This study quantifies carbon leaching from Indonesian peat soils based on data obtained during nine expeditions to the Siak and five other major rivers draining peatlands in Central Sumatra. Furthermore, we developed a mixing model in order to simulate processes responsible for carbon leaching and applied our results to Indonesian peatlands.",Degraded,,,Siakporewater_Mar2008,Indonesia,0.97371,102.091113,Dry,39508,,,21.9,Porewater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.6507495,86.5248418,22.2311599,194.8412409,28.838411,70.64185573,,,,,,,,,,,,
5,"Yupi H.M., Inoue T., Bathgate J., Putra R.","Concentrations, loads and yields of organic carbon from two tropical peat swamp forest streams in Riau province, Sumatra, Indonesia",2016,"The purpose of this study was to quantify the C loads of watercourses draining from PSF in Riau Province, Sumatra (Indonesia) by combining continuous flow data with measurements of organic C concentration in the water; and thus to estimate catchment yields of organic C",Degraded,Logged and drained; considered semi-intact,,Meranti_ditch,Indonesia,0.250028,102.574889,Wet & dry,Jun 2012 - Mar 2013,3.6,,,Canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,90,,2.07,,,,,,,,,,,,
6,"Nurzakiah S., Sutandi A., Sabiham S., Djajakirana G., Sudadi U.",Controls on the net dissolved organic carbon production in tropical peat,2021,This research was conducted to find out the main factors controlling net DOC production,Managed,Oil palm plantation,,Buatan,Indonesia,0.717646,101.742979,Wet & dry,Jul 2018 - Jun 2019,,,,Porewater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6,,41.8,154,,,,,,,,,,,,,,
